Time,Ads
2017-09-21 04:00:00,121910
2017-09-21 05:00:00,113950
2017-09-21 06:00:00,106495
2017-09-21 07:00:00,97290
2017-09-21 08:00:00,98860
2017-09-21 09:00:00,105635
2017-09-21 10:00:00,114380
2017-09-21 11:00:00,132335
2017-09-21 12:00:00,146630
2017-09-21 13:00:00,141995
2017-09-21 14:00:00,142815
2017-09-21 15:00:00,146020
2017-09-21 16:00:00,152120
2017-09-21 17:00:00,151790
2017-09-21 18:00:00,155665
2017-09-21 19:00:00,155890
2017-09-21 20:00:00,123395
2017-09-21 21:00:00,103080
2017-09-21 22:00:00,95155
2017-09-21 23:00:00,80285
