Time,GEMS_GEMS_SPENT
2017-11-20,970724
2017-11-21,1308139
2017-11-22,1223100
2017-11-23,925962
2017-11-24,1386423
2017-11-25,1319390
2017-11-26,995244
2017-11-27,1365656
2017-11-28,1305871
2017-11-29,981010
2017-11-30,1425631
2017-12-01,1334807
2017-12-02,1021410
2017-12-03,1763160
2017-12-04,1765830
2017-12-05,1597298
2017-12-06,1627717
2017-12-07,1589619
2017-12-08,1283460
2017-12-09,1907036
2017-12-10,1940908
2017-12-11,1677208
2017-12-12,2984329
2017-12-13,2524946
2017-12-14,1342763
2017-12-15,1904900
2017-12-16,1815581
2017-12-17,1415851
2017-12-18,1826552
2017-12-19,1708774
2017-12-20,1241392
2017-12-21,1737367
2017-12-22,1913008
2017-12-23,1364683
2017-12-24,1478238
2017-12-25,1342886
2017-12-26,1024933
2017-12-27,1430514
2017-12-28,1372474
2017-12-29,1026572
2017-12-30,1417844
2017-12-31,1679457
2018-01-01,1351801
2018-01-02,2023723
2018-01-03,1543211
2018-01-04,1180192
2018-01-05,1673992
2018-01-06,1707847
2018-01-07,1451361
2018-01-08,1998262
2018-01-09,2162133
2018-01-10,2330069
2018-01-11,2995029
2018-01-12,2421592
2018-01-13,1152460
2018-01-14,2203248
2018-01-15,2135716
2018-01-16,1871435
2018-01-17,1764628
2018-01-18,1985953
2018-01-19,1492338
2018-01-20,2209397
2018-01-21,2136402
2018-01-22,1592552
2018-01-23,2035135
2018-01-24,1806885
2018-01-25,1308255
2018-01-26,1875120
2018-01-27,1722011
2018-01-28,1388952
2018-01-29,1918963
2018-01-30,1783279
2018-01-31,1343029
2018-02-01,1930747
2018-02-02,1826320
2018-02-03,1455626
2018-02-04,2294555
2018-02-05,2172449
2018-02-06,1612939
2018-02-07,2117962
2018-02-08,2164330
2018-02-09,1819026
2018-02-10,3242154
2018-02-11,2894633
2018-02-12,1405753
2018-02-13,1842610
2018-02-14,1707899
2018-02-15,1324588
2018-02-16,2090271
2018-02-17,2119260
2018-02-18,1716590
2018-02-19,2398088
2018-02-20,2166449
2018-02-21,1552313
2018-02-22,2175548
2018-02-23,2122606
2018-02-24,1756394
